C:\Users\aashi\Desktop\beta_simulator_windows\IMG\center_2019_12_30_10_56_21_347.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\left_2019_12_30_10_56_21_347.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\right_2019_12_30_10_56_21_347.jpg,0,0,0,3.939548
C:\Users\aashi\Desktop\beta_simulator_windows\IMG\center_2019_12_30_10_56_21_423.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\left_2019_12_30_10_56_21_423.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\right_2019_12_30_10_56_21_423.jpg,0,0,0,3.915788
C:\Users\aashi\Desktop\beta_simulator_windows\IMG\center_2019_12_30_10_56_21_493.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\left_2019_12_30_10_56_21_493.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\right_2019_12_30_10_56_21_493.jpg,0,0,0,3.884331
C:\Users\aashi\Desktop\beta_simulator_windows\IMG\center_2019_12_30_10_56_21_566.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\left_2019_12_30_10_56_21_566.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\right_2019_12_30_10_56_21_566.jpg,0,0,0,3.853126
C:\Users\aashi\Desktop\beta_simulator_windows\IMG\center_2019_12_30_10_56_21_639.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\left_2019_12_30_10_56_21_639.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\right_2019_12_30_10_56_21_639.jpg,0,0,0,3.829887
C:\Users\aashi\Desktop\beta_simulator_windows\IMG\center_2019_12_30_10_56_21_717.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\left_2019_12_30_10_56_21_717.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\right_2019_12_30_10_56_21_717.jpg,0,0,0,3.79912
C:\Users\aashi\Desktop\beta_simulator_windows\IMG\center_2019_12_30_10_56_21_792.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\left_2019_12_30_10_56_21_792.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\right_2019_12_30_10_56_21_792.jpg,0,0,0,3.7686
C:\Users\aashi\Desktop\beta_simulator_windows\IMG\center_2019_12_30_10_56_21_860.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\left_2019_12_30_10_56_21_860.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\right_2019_12_30_10_56_21_860.jpg,0,0,0,3.745871
C:\Users\aashi\Desktop\beta_simulator_windows\IMG\center_2019_12_30_10_56_21_932.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\left_2019_12_30_10_56_21_932.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\right_2019_12_30_10_56_21_932.jpg,0,0,0,3.715779
C:\Users\aashi\Desktop\beta_simulator_windows\IMG\center_2019_12_30_10_56_22_006.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\left_2019_12_30_10_56_22_006.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\right_2019_12_30_10_56_22_006.jpg,0,0,0,3.685929
C:\Users\aashi\Desktop\beta_simulator_windows\IMG\center_2019_12_30_10_56_22_083.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\left_2019_12_30_10_56_22_083.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\right_2019_12_30_10_56_22_083.jpg,0,0,0,3.663699
C:\Users\aashi\Desktop\beta_simulator_windows\IMG\center_2019_12_30_10_56_22_155.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\left_2019_12_30_10_56_22_155.jpg,C:\Users\aashi\Desktop\beta_simulator_windows\IMG\right_2019_12_30_10_56_22_155.jpg,0,0,0,3.634267
